idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,iqm_emerald,iqm_emerald_qvc_test_000,qvc_test_000.json,1024,201,0.107421875,0.107421875,1,6.1385439311908145,4.7158203125,0.7353515625,38.677734375,0.5537109375,0000111001,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,-0.1677731357936259,0.9641052125630347,-35.57340737398701,True,True
1,qvc_test_001,iqm_emerald,iqm_emerald_qvc_test_001,qvc_test_001.json,1024,219,0.12109375,0.12109375,1,6.305053902645483,6.474609375,0.3505859375,34.185546875,0.560546875,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,-0.2607286659170801,1.5958771543612,-59.340951063591845,True,True
2,qvc_test_002,iqm_emerald,iqm_emerald_qvc_test_002,qvc_test_002.json,1024,216,0.19140625,0.19140625,1,6.1024518983923,6.1015625,0.5380859375,44.578125,0.595703125,0100110111,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.1919235107869371,1.6317664995001673,-74.84204401318765,True,True
3,qvc_test_003,iqm_emerald,iqm_emerald_qvc_test_003,qvc_test_003.json,1024,230,0.14453125,0.14453125,1,6.338162917472676,3.658203125,0.5126953125,34.62109375,0.572265625,1100011000,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.22059949964291709,1.4646241428895515,-59.56244375373504,True,True
4,qvc_test_004,iqm_emerald,iqm_emerald_qvc_test_004,qvc_test_004.json,1024,218,0.03125,0.03125,1,6.260490168022548,5.041015625,0.7373046875,34.86328125,0.515625,0000111001,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,-0.1653086286777482,1.4544424391832536,-59.70695389073768,True,True
5,qvc_test_005,iqm_emerald,iqm_emerald_qvc_test_005,qvc_test_005.json,1024,193,0.154296875,0.154296875,1,5.937486206650492,6.9033203125,0.3515625,45.595703125,0.5771484375,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,-0.265645070724004,1.7012899413652045,-87.01972735539448,True,True
6,qvc_test_006,iqm_emerald,iqm_emerald_qvc_test_006,qvc_test_006.json,1024,145,-0.203125,0.203125,-1,4.89982471147405,5.390625,0.6728515625,123.716796875,0.3984375,0001100111,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.3336124122211369,2.086442804343591,-224.56272176852804,True,True
7,qvc_test_007,iqm_emerald,iqm_emerald_qvc_test_007,qvc_test_007.json,1024,302,0.015625,0.015625,1,7.257872640326893,6.005859375,0.375,12.490234375,0.5078125,1011110111,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.2500528473605019,1.1979344273737738,-26.181509787995353,True,True
8,qvc_test_008,iqm_emerald,iqm_emerald_qvc_test_008,qvc_test_008.json,1024,206,-0.138671875,0.138671875,-1,6.071676513727726,5.4287109375,0.650390625,41.65625,0.4306640625,1100100101,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,0.1635041536930475,1.1249034593219074,-38.94502842080489,True,True
9,qvc_test_009,iqm_emerald,iqm_emerald_qvc_test_009,qvc_test_009.json,1024,202,-0.255859375,0.255859375,-1,5.887911805392692,5.1884765625,0.6806640625,48.595703125,0.3720703125,1100100101,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.21489749674264008,1.1308564676027686,-51.40186164623968,True,True
10,qvc_test_010,iqm_emerald,iqm_emerald_qvc_test_010,qvc_test_010.json,1024,203,0.193359375,0.193359375,1,5.9786865390204635,4.5458984375,0.70703125,42.771484375,0.5966796875,0000111001,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,-0.24920376864686788,1.2268984286703413,-46.26328027689638,True,True
