idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,iqm_garnet,iqm_garnet_qvc_test_000,qvc_test_000.json,1024,215,0.123046875,0.123046875,1,6.124545231589021,4.8544921875,0.6728515625,40.1640625,0.5615234375,0000111001,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,-0.1521481357936259,0.9501065129612414,-34.08707924898701,True,True
1,qvc_test_001,iqm_garnet,iqm_garnet_qvc_test_001,qvc_test_001.json,1024,184,0.166015625,0.166015625,1,5.765539978632698,6.5908203125,0.3125,47.083984375,0.5830078125,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,-0.2158067909170801,1.0563632303484152,-46.442513563591845,True,True
2,qvc_test_002,iqm_garnet,iqm_garnet_qvc_test_002,qvc_test_002.json,1024,181,0.189453125,0.189453125,1,5.637329224639903,6.1767578125,0.5615234375,60.302734375,0.5947265625,0100110111,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.1938766357869371,1.1666438257477703,-59.117434638187646,True,True
3,qvc_test_003,iqm_garnet,iqm_garnet_qvc_test_003,qvc_test_003.json,1024,203,0.087890625,0.087890625,1,6.16121654686966,3.7685546875,0.46484375,34.416015625,0.5439453125,1100011000,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.2772401246429171,1.2876777722865356,-59.76752187873504,True,True
4,qvc_test_004,iqm_garnet,iqm_garnet_qvc_test_004,qvc_test_004.json,1024,201,0.001953125,0.001953125,1,6.044825833458402,4.9345703125,0.6826171875,38.345703125,0.5009765625,0000111001,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,-0.1946055036777482,1.238778104619108,-56.22453201573768,True,True
5,qvc_test_005,iqm_garnet,iqm_garnet_qvc_test_005,qvc_test_005.json,1024,176,0.23828125,0.23828125,1,5.518468484188397,7.193359375,0.322265625,68.44140625,0.619140625,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,-0.181660695724004,1.2822722189031097,-64.17402423039448,True,True
6,qvc_test_006,iqm_garnet,iqm_garnet_qvc_test_006,qvc_test_006.json,1024,139,-0.291015625,0.291015625,-1,4.60533937810917,5.4990234375,0.6640625,150.978515625,0.3544921875,0001100111,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.2457217872211369,1.7919574709787107,-197.30100301852804,True,True
7,qvc_test_007,iqm_garnet,iqm_garnet_qvc_test_007,qvc_test_007.json,1024,256,0.068359375,0.068359375,1,6.913664434237118,6.1162109375,0.423828125,17.22265625,0.5341796875,0100110111,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.19731847236050187,0.8537262212839991,-21.449087912995353,True,True
8,qvc_test_008,iqm_garnet,iqm_garnet_qvc_test_008,qvc_test_008.json,1024,179,-0.1875,0.1875,-1,5.68438884264983,5.474609375,0.6591796875,52.267578125,0.40625,1100100101,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,0.1146760286930475,0.7376157882440113,-28.33370029580489,True,True
10,qvc_test_010,iqm_garnet,iqm_garnet_qvc_test_010,qvc_test_010.json,1024,182,0.158203125,0.158203125,1,5.8351569275204325,4.6025390625,0.7431640625,44.130859375,0.5791015625,1100111001,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,-0.2843600186468679,1.0833688171703102,-44.90390527689638,True,True
