idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,rigetti_cepheus,rigetti_cepheus_qvc_test_000,qvc_test_000.json,1024,367,-0.013671875,0.013671875,-1,7.847370965643417,6.2861328125,0.4970703125,7.673828125,0.4931640625,1110111111,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,-0.2888668857936259,2.6729322470156376,-66.57731362398701,False,False
1,qvc_test_001,rigetti_cepheus,rigetti_cepheus_qvc_test_001,qvc_test_001.json,1024,337,0.0234375,0.0234375,1,7.497723158123446,6.685546875,0.3427734375,11.609375,0.51171875,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,-0.3583849159170801,2.788546409839163,-81.91712293859185,True,True
2,qvc_test_002,rigetti_cepheus,rigetti_cepheus_qvc_test_002,qvc_test_002.json,1024,343,-0.00390625,0.00390625,-1,7.5283452535527955,6.8515625,0.4248046875,10.37890625,0.498046875,1111111111,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.3872360107869371,3.0576598546606624,-109.04126276318765,False,False
3,qvc_test_003,rigetti_cepheus,rigetti_cepheus_qvc_test_003,qvc_test_003.json,1024,357,-0.05078125,0.05078125,-1,7.795858609557149,4.8046875,0.419921875,7.322265625,0.474609375,1110011110,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.4159119996429171,2.922319834974024,-86.86127187873504,False,False
4,qvc_test_004,rigetti_cepheus,rigetti_cepheus_qvc_test_004,qvc_test_004.json,1024,331,0.025390625,0.025390625,1,7.582959247639567,6.0947265625,0.5712890625,9.359375,0.5126953125,1110111111,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,-0.1711680036777482,2.776911518800273,-85.21086014073768,True,True
5,qvc_test_005,rigetti_cepheus,rigetti_cepheus_qvc_test_005,qvc_test_005.json,1024,315,0.04296875,0.04296875,1,7.345811991081806,6.89453125,0.30859375,13.986328125,0.521484375,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,-0.376973195724004,3.1096157257965187,-118.62910235539448,True,True
6,qvc_test_006,rigetti_cepheus,rigetti_cepheus_qvc_test_006,qvc_test_006.json,1024,319,-0.01953125,0.01953125,-1,7.340053426471004,6.736328125,0.39453125,12.66796875,0.490234375,1111111111,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.5172061622211369,4.526671519340544,-335.61154989352804,True,True
7,qvc_test_007,rigetti_cepheus,rigetti_cepheus_qvc_test_007,qvc_test_007.json,1024,366,0.033203125,0.033203125,1,7.775896714900031,6.7919921875,0.3564453125,8.544921875,0.5166015625,1111111111,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.23247472236050187,1.7159585019469121,-30.126822287995353,True,True
8,qvc_test_008,rigetti_cepheus,rigetti_cepheus_qvc_test_008,qvc_test_008.json,1024,383,-0.048828125,0.048828125,-1,7.881848293022705,6.1103515625,0.4013671875,7.072265625,0.4755859375,1110111111,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,0.2533479036930475,2.9350752386168866,-73.52901279580489,True,True
9,qvc_test_009,rigetti_cepheus,rigetti_cepheus_qvc_test_009,qvc_test_009.json,1024,305,0.025390625,0.025390625,1,7.2375914343427405,5.7919921875,0.4541015625,13.18359375,0.5126953125,1010100101,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.4961474967426401,2.480536096552817,-86.81397102123968,False,False
10,qvc_test_010,rigetti_cepheus,rigetti_cepheus_qvc_test_010,qvc_test_010.json,1024,352,0.046875,0.046875,1,7.611758335709249,5.810546875,0.546875,9.7890625,0.5234375,1110111111,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,-0.3956881436468679,2.8599702253591266,-79.24570215189638,True,True
