idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,braket_sv1,braket_sv1_qvc_test_000,qvc_test_000.json,1024,121,0.310546875,0.310546875,1,4.957025580569894,4.7998046875,0.7802734375,74.9140625,0.6552734375,0000111001,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,0.035351864206374095,-0.21741313805788565,0.6629207510129902,True,True
1,qvc_test_001,braket_sv1,braket_sv1_qvc_test_001,qvc_test_001.json,1024,114,0.3671875,0.3671875,1,4.633507199597923,6.876953125,0.3798828125,92.685546875,0.68359375,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,-0.014634915917080105,-0.07566954868635989,-0.8409510635918451,True,True
2,qvc_test_002,braket_sv1,braket_sv1_qvc_test_002,qvc_test_002.json,1024,97,0.359375,0.359375,1,4.454083648212935,6.41796875,0.5927734375,106.951171875,0.6796875,0100110111,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.02395476078693709,-0.016601750679198446,-12.468997138187646,True,True
3,qvc_test_003,braket_sv1,braket_sv1_qvc_test_003,qvc_test_003.json,1024,106,0.3203125,0.3203125,1,4.700650622887991,3.435546875,0.5673828125,94.017578125,0.66015625,1100011000,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.044818249642917085,-0.17288815169513327,-0.16595937873503885,True,True
4,qvc_test_004,braket_sv1,braket_sv1_qvc_test_004,qvc_test_004.json,1024,119,0.197265625,0.197265625,1,4.741007313876533,5.0849609375,0.802734375,90.2734375,0.5986328125,1100111001,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,0.0007069963222517961,-0.0650404149627608,-4.29679764073768,True,True
5,qvc_test_005,braket_sv1,braket_sv1_qvc_test_005,qvc_test_005.json,1024,82,0.478515625,0.478515625,1,4.005822123573107,7.2685546875,0.41796875,137.76953125,0.7392578125,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,0.05857367927599599,-0.23037414171218096,5.15410076960552,True,True
6,qvc_test_006,braket_sv1,braket_sv1_qvc_test_006,qvc_test_006.json,1024,51,-0.54296875,0.54296875,-1,2.71082331274429,5.33984375,0.76171875,359.380859375,0.228515625,0001100111,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,-0.006231337778863089,-0.10255859438616888,11.101340731471964,True,True
7,qvc_test_007,braket_sv1,braket_sv1_qvc_test_007,qvc_test_007.json,1024,160,0.248046875,0.248046875,1,5.839082464249936,6.4443359375,0.474609375,36.775390625,0.6240234375,1011110111,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.017630972360501873,-0.22085574870318325,-1.8963535379953527,True,True
8,qvc_test_008,braket_sv1,braket_sv1_qvc_test_008,qvc_test_008.json,1024,114,-0.30859375,0.30859375,-1,4.745361999380849,5.61328125,0.6826171875,83.736328125,0.345703125,1100100101,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,-0.006417721306952506,-0.2014110550249697,3.1350497041951115,True,True
9,qvc_test_009,braket_sv1,braket_sv1_qvc_test_009,qvc_test_009.json,1024,93,-0.462890625,0.462890625,-1,4.527044600717816,5.1806640625,0.7822265625,103.302734375,0.2685546875,1100100101,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.007866246742640082,-0.2300107370721074,3.3051696037603193,True,True
10,qvc_test_010,braket_sv1,braket_sv1_qvc_test_010,qvc_test_010.json,1024,101,0.466796875,0.466796875,1,4.565692294467551,4.6162109375,0.7919921875,90.109375,0.7333984375,1100111001,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,0.024233731353132115,-0.18609581588257118,1.0746103481036187,True,True
