idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,braket_tn1,braket_tn1_qvc_test_000,qvc_test_000.json,1000,122,0.262,0.262,1,4.985124704208543,4.779,0.785,74.90764800000004,0.631,0000111001,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,-0.013195010793625894,-0.1893140144192369,0.6565062510130275,True,True
1,qvc_test_001,braket_tn1,braket_tn1_qvc_test_001,qvc_test_001.json,1000,104,0.398,0.398,1,4.487069946914175,6.937,0.389,101.72006399999998,0.699,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,0.016177584082919916,-0.2221068013701082,8.193566061408134,True,True
2,qvc_test_002,braket_tn1,braket_tn1_qvc_test_002,qvc_test_002.json,1000,100,0.33,0.33,1,4.4274575965418395,6.367,0.6200000000000001,117.08006400000004,0.665,0100110111,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.053329760786937075,-0.043227802350293665,-2.3401050131876104,True,True
3,qvc_test_003,braket_tn1,braket_tn1_qvc_test_003,qvc_test_003.json,1000,115,0.306,0.306,1,4.813645523040038,3.473,0.5710000000000001,86.55872,0.653,1100011000,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.05913074964291709,-0.059893251543086556,-7.624817503735045,True,True
4,qvc_test_004,braket_tn1,braket_tn1_qvc_test_004,qvc_test_004.json,1000,110,0.198,0.198,1,4.629836829461605,5.131,0.8089999999999999,100.54246400000001,0.599,1100111001,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,0.0014413713222518054,-0.17621089937768897,5.97222885926233,True,True
5,qvc_test_005,braket_tn1,braket_tn1_qvc_test_005,qvc_test_005.json,1000,81,0.408,0.408,1,3.913713349174,7.368,0.387,148.00896,0.704,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,-0.011941945724004033,-0.32248291611128765,15.393529519605522,True,True
6,qvc_test_006,braket_tn1,braket_tn1_qvc_test_006,qvc_test_006.json,1000,50,-0.526,0.526,-1,2.8098798522992743,5.397,0.7549999999999999,337.774592,0.237,0001100111,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.010737412221136888,-0.003502054831184598,-10.504926643528051,True,True
7,qvc_test_007,braket_tn1,braket_tn1_qvc_test_007,qvc_test_007.json,1000,164,0.244,0.244,1,5.816058997552227,6.412,0.45500000000000007,38.213632,0.622,0100110111,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.02167784736050188,-0.24387921540089152,-0.45811216299535573,True,True
8,qvc_test_008,braket_tn1,braket_tn1_qvc_test_008,qvc_test_008.json,1000,111,-0.314,0.314,-1,4.832947520440846,5.633,0.69,80.76492800000001,0.343,1100100101,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,-0.011823971306952508,-0.11382553396497297,0.16364957919512335,True,True
9,qvc_test_009,braket_tn1,braket_tn1_qvc_test_009,qvc_test_009.json,1000,104,-0.458,0.458,-1,4.661751000112492,5.183,0.764,95.166464,0.271,1100100101,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.012756871742640064,-0.0953043376774314,-4.831100771239676,True,True
10,qvc_test_010,braket_tn1,braket_tn1_qvc_test_010,qvc_test_010.json,1000,106,0.42,0.42,1,4.637962013881201,4.562,0.799,87.621632,0.71,0000111001,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,-0.0225631436468679,-0.11382609646892128,-1.413132651896376,True,True
