idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
1,fez_vqc_001,ibm_fez,d7vm3kjack5s73bfjjh0,2026-05-09T16:33:22.233832Z,1024,167,0.205078125,0.205078125,1,5.730298427781732,6.5791015625,0.3671875,47.521484375,0.6025390625,1111111111,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,-0.1767442909170801,1.0211216794974494,-46.005013563591845,True,True
2,fez_vqc_002,ibm_fez,d7vm407mrars73d8cadg,2026-05-09T16:34:08.576996Z,1024,155,0.16015625,0.16015625,1,5.481862530946245,6.06640625,0.5439453125,57.939453125,0.580078125,1110110010,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.2231735107869371,1.0111771320541116,-61.480715888187646,True,True
3,fez_vqc_003,ibm_fez,d7vm4jlpa59c73b63280,2026-05-09T16:35:26.497508Z,1024,173,0.201171875,0.201171875,1,5.724194573558069,3.6513671875,0.5185546875,51.224609375,0.6005859375,0001100011,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.16395887464291709,0.8506557989749446,-42.95892812873504,True,True
4,fez_vqc_004,ibm_fez,d7vm5crack5s73bfjlfg,2026-05-09T16:37:07.657627Z,1024,167,0.162109375,0.162109375,1,5.575577100717687,4.9892578125,0.7470703125,56.755859375,0.5810546875,1001110011,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,-0.034449253677748204,0.7695293718783924,-37.81437576573768,True,True
5,fez_vqc_005,ibm_fez,d7vm5r3ack5s73bfjm10,2026-05-09T16:38:04.903086Z,1024,140,0.23046875,0.23046875,1,5.1873811467043485,7.0625,0.3740234375,71.041015625,0.615234375,1111111111,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,-0.189473195724004,0.9511848814190609,-61.57441485539448,True,True
6,fez_vqc_006,ibm_fez,d7vm7ddpa59c73b635h0,2026-05-09T16:41:25.923428Z,1024,110,-0.25390625,0.25390625,-1,4.376089122289179,5.46875,0.6328125,158.388671875,0.373046875,1110011000,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.2828311622211369,1.5627072151587202,-189.89084676852804,True,True
7,fez_vqc_007,ibm_fez,d7vm9f5pa59c73b6383g,2026-05-09T16:45:48.87176Z,1024,249,0.138671875,0.138671875,1,6.6851963001892365,6.2353515625,0.427734375,22.435546875,0.5693359375,1110111101,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.12700597236050187,0.6252580872361175,-16.236197287995353,True,True
8,fez_vqc_008,ibm_fez,d7vm83tpa59c73b636c0,2026-05-09T16:42:55.279634Z,1024,175,-0.123046875,0.123046875,-1,5.846133918761493,5.5029296875,0.583984375,43.38671875,0.4384765625,1010010011,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,0.1791291536930475,0.8993608643556739,-37.21455967080489,True,True
9,fez_vqc_009,ibm_fez,d7vm8fkinasc738u91s0,2026-05-09T16:43:42.287128Z,1024,185,-0.236328125,0.236328125,-1,5.751924959184264,5.1416015625,0.6904296875,53.58203125,0.3818359375,1010010011,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.23442874674264008,0.9948696213943409,-46.41553352123968,True,True
10,fez_vqc_010,ibm_fez,d7vm8t7mrars73d8cfp0,2026-05-09T16:44:36.398193Z,1024,171,0.25390625,0.25390625,1,5.721177256131973,4.6640625,0.7041015625,47.908203125,0.626953125,1001110000,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,-0.18865689364686788,0.9693891457818511,-41.12656152689638,True,True
