idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index_x,test_index_y,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,qvc_test_000,ionq_native_simulator,ionq_native_simulator_qvc_test_000,20260707_084925Z/qvc_test_000.json,1024,120,0.28125,0.28125,1,4.936330672958762,4.826171875,0.80859375,76.2265625,0.640625,1100111001,0,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,0.006054989206374095,-0.23810804566901744,1.9754207510129902,True,True
1,qvc_test_001,ionq_native_simulator,ionq_native_simulator_qvc_test_001,20260707_084925Z/qvc_test_001.json,1024,108,0.404296875,0.404296875,1,4.5495751757746,6.8896484375,0.3974609375,96.7890625,0.7021484375,1111111111,1,1,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,True,0.022474459082919895,-0.15960157250968265,3.262564561408155,True,True
2,qvc_test_002,ionq_native_simulator,ionq_native_simulator_qvc_test_002,20260707_084925Z/qvc_test_002.json,1024,99,0.373046875,0.373046875,1,4.377390022156376,6.3310546875,0.6103515625,119.50390625,0.6865234375,0100110111,2,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,-0.01028288578693709,-0.09329537673575672,0.0837372368123539,True,True
3,qvc_test_003,ionq_native_simulator,ionq_native_simulator_qvc_test_003,20260707_084925Z/qvc_test_003.json,1024,104,0.345703125,0.345703125,1,4.728928293714173,3.4599609375,0.57421875,93.08203125,0.6728515625,1100011000,3,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,-0.019427624642917085,-0.1446104808689519,-1.1015062537350389,True,True
4,qvc_test_004,ionq_native_simulator,ionq_native_simulator_qvc_test_004,20260707_084925Z/qvc_test_004.json,1024,112,0.220703125,0.220703125,1,4.636600932114847,5.0107421875,0.806640625,98.0,0.6103515625,1100111001,4,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,0.024144496322251796,-0.16944679672444707,3.4297648592623204,True,True
5,qvc_test_005,ionq_native_simulator,ionq_native_simulator_qvc_test_005,20260707_084925Z/qvc_test_005.json,1024,75,0.4296875,0.4296875,1,3.9781930226787416,7.353515625,0.400390625,137.47265625,0.71484375,1111111111,5,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,0.009745554275995993,-0.25800324260654595,4.85722576960552,True,True
6,qvc_test_006,ionq_native_simulator,ionq_native_simulator_qvc_test_006,20260707_084925Z/qvc_test_006.json,1024,55,-0.53125,0.53125,-1,2.8644343110458714,5.4296875,0.744140625,326.83984375,0.234375,0001100111,6,6,-1.0,-0.5367374122211369,-1,2.813381907130459,348.27951864352804,1100111,0.567583592306259,5.392072774041349,True,0.005487412221136911,0.05105240391541255,-21.439674893528036,True,True
7,qvc_test_007,ionq_native_simulator,ionq_native_simulator_qvc_test_007,20260707_084925Z/qvc_test_007.json,1024,166,0.244140625,0.244140625,1,5.8591867675840845,6.4052734375,0.462890625,37.759765625,0.6220703125,1011110111,7,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,-0.021537222360501873,-0.20075144536903444,-0.9119785379953527,True,True
8,qvc_test_008,ionq_native_simulator,ionq_native_simulator_qvc_test_008,20260707_084925Z/qvc_test_008.json,1024,104,-0.310546875,0.310546875,-1,4.7301844442007415,5.6279296875,0.6787109375,84.02734375,0.3447265625,1100100101,8,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,-0.008370846306952506,-0.21658861020507736,3.4260653291951115,True,True
9,qvc_test_009,ionq_native_simulator,ionq_native_simulator_qvc_test_009,20260707_084925Z/qvc_test_009.json,1024,96,-0.44921875,0.44921875,-1,4.565595591769786,5.19921875,0.7412109375,103.3515625,0.275390625,1100100101,9,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,0.02153812174264008,-0.19145974602013727,3.3539977287603193,True,True
10,qvc_test_010,ionq_native_simulator,ionq_native_simulator_qvc_test_010,20260707_084925Z/qvc_test_010.json,1024,108,0.482421875,0.482421875,1,4.595138796166915,4.5869140625,0.78515625,90.5546875,0.7412109375,1100111001,10,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,0.039858731353132115,-0.15664931418320727,1.5199228481036187,True,True
