device_key,display_name,family,idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index_ideal,true_label_ideal,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,ideal_prediction_matches_label,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction,circuit_idx,test_index_x,test_index_y
ibm_kingston,IBM Kingston,IBM,0,vqc-ibm_kingston_00,ibm_kingston,d7njv3s97osc73ds5nk0,2026-04-27T10:50:55.88709Z,1024,142,0.224609375,0.224609375,1.0,5.302979983018988,4.7763671875,0.7744140625,63.49609375,0.6123046875,1001110000,0.0,1.0,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,True,-0.0505856357936259,0.1285412643912078,-10.75504799898701,True,True,0,,
ibm_marrakesh,IBM Marrakesh,IBM,0,qvc_test_000,ibm_marrakesh,marrakesh_qvc_test_000,qvc_test_000.json,1024,141,0.259765625,0.259765625,1.0,5.230747649068265,4.8193359375,0.763671875,66.9609375,0.6298828125,111001,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,-0.0154293857936259,0.0563089304404851,-7.29020424898701,True,True,0,,
iqm_emerald,IQM Emerald (Braket),Braket,0,qvc_test_000,iqm_emerald,iqm_emerald_qvc_test_000,qvc_test_000.json,1024,201,0.107421875,0.107421875,1.0,6.138543931190815,4.7158203125,0.7353515625,38.677734375,0.5537109375,111001,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,-0.1677731357936259,0.9641052125630348,-35.57340737398701,True,True,0,,
iqm_garnet,IQM Garnet (Braket),Braket,0,qvc_test_000,iqm_garnet,iqm_garnet_qvc_test_000,qvc_test_000.json,1024,215,0.123046875,0.123046875,1.0,6.124545231589021,4.8544921875,0.6728515625,40.1640625,0.5615234375,111001,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,-0.1521481357936259,0.9501065129612414,-34.08707924898701,True,True,0,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,0,qvc_test_000,rigetti_cepheus,rigetti_cepheus_qvc_test_000,qvc_test_000.json,1024,367,-0.013671875,0.013671875,-1.0,7.847370965643417,6.2861328125,0.4970703125,7.673828125,0.4931640625,1110111111,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,-0.2888668857936259,2.6729322470156376,-66.57731362398701,False,False,0,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,0,qvc_test_000,braket_sv1,braket_sv1_qvc_test_000,qvc_test_000.json,1024,121,0.310546875,0.310546875,1.0,4.957025580569894,4.7998046875,0.7802734375,74.9140625,0.6552734375,111001,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,0.035351864206374,-0.2174131380578856,0.6629207510129902,True,True,0,,
braket_tn1,Braket TN1 (Amazon sim),Braket sim,0,qvc_test_000,braket_tn1,braket_tn1_qvc_test_000,qvc_test_000.json,1000,122,0.262,0.262,1.0,4.985124704208543,4.779,0.785,74.90764800000004,0.631,111001,,,0.0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,-0.0131950107936258,-0.1893140144192369,0.6565062510130275,True,True,0,,
ionq_native_simulator,IonQ simulator (native cloud),IonQ native,0,qvc_test_000,ionq_native_simulator,ionq_native_simulator_qvc_test_000,20260707_084925Z/qvc_test_000.json,1024,120,0.28125,0.28125,1.0,4.936330672958762,4.826171875,0.80859375,76.2265625,0.640625,1100111001,,,,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,0.006054989206374,-0.2381080456690174,1.9754207510129904,True,True,0,0.0,0.0
ionq_native_forte_1,IonQ Forte-1 (native cloud),IonQ native,0,qvc_test_000,ionq_native_forte_1,ionq_native_forte_1_qvc_test_000,20260707_084925Z/qvc_test_000.json,1025,152,0.2839024390243902,0.2839024390243902,1.0,5.261052281874742,4.879024390243902,0.7921951219512195,70.3166972040452,0.6419512195121951,111001,,,,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,,True,0.0087074282307643,0.0866135632469617,-3.934444544941812,True,True,0,0.0,0.0
ibm_fez,IBM Fez,IBM,1,fez_vqc_001,ibm_fez,d7vm3kjack5s73bfjjh0,2026-05-09T16:33:22.233832Z,1024,167,0.205078125,0.205078125,1.0,5.730298427781732,6.5791015625,0.3671875,47.521484375,0.6025390625,1111111111,,,1.0,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,-0.1767442909170801,1.0211216794974494,-46.005013563591845,True,True,1,,
